iter	Accuracy	MultiClass
0	0.4359175971	1.762799057
1	0.4359175971	1.736671551
2	0.4359175971	1.712876013
3	0.4359175971	1.691037951
4	0.4359175971	1.670869494
5	0.4359175971	1.652144215
6	0.4359175971	1.634680545
7	0.4359175971	1.618330464
8	0.4359175971	1.60297158
9	0.4359175971	1.588501422
10	0.5154898569	1.572477105
11	0.5154898569	1.557618074
12	0.5154898569	1.544816461
13	0.5154898569	1.532668865
14	0.5313728574	1.520706954
15	0.5320543062	1.508056229
16	0.5320543062	1.496012373
17	0.5320543062	1.484676846
18	0.5320543062	1.47397517
19	0.5320543062	1.464051736
20	0.5320543062	1.454565801
21	0.5320543062	1.445487501
22	0.6201184673	1.434356201
23	0.6196991141	1.425170735
24	0.6196991141	1.415821467
25	0.6196991141	1.406815767
26	0.6196991141	1.396752986
27	0.6196991141	1.387123162
28	0.6196991141	1.379621438
29	0.6196991141	1.372579529
30	0.6196991141	1.365182426
31	0.6196991141	1.358058625
32	0.6196991141	1.349005983
33	0.620013629	1.340707945
34	0.620013629	1.334410652
35	0.620013629	1.328403887
36	0.6200660481	1.320759369
37	0.6200660481	1.315036135
38	0.6214289459	1.307311021
39	0.6215862033	1.299796857
40	0.6252555433	1.292641481
41	0.6252555433	1.285097602
42	0.6252555433	1.279360646
43	0.6252031242	1.274160681
44	0.6252031242	1.269118346
45	0.6252031242	1.261921326
46	0.6256748965	1.25681583
47	0.6256748965	1.250369393
48	0.6252555433	1.245011958
49	0.6253079625	1.239572335
50	0.6257273156	1.234955566
51	0.6261990879	1.228895321
52	0.6261990879	1.22245771
53	0.6265660219	1.218022355
54	0.6263039262	1.212411998
55	0.6270902133	1.206879414
56	0.6265136028	1.202157328
57	0.6266184411	1.197975467
58	0.6270902133	1.19351858
59	0.6271426325	1.189683506
60	0.6304974577	1.18431274
61	0.6295539131	1.179533044
62	0.6296063322	1.174885086
63	0.6296063322	1.169743665
64	0.6296063322	1.165057175
65	0.6295539131	1.160534055
66	0.6297111705	1.156043375
67	0.6295539131	1.151721872
68	0.6295539131	1.148467819
69	0.6295539131	1.144235723
70	0.6295539131	1.141089289
71	0.6295539131	1.136331597
72	0.6295539131	1.133181337
73	0.6295539131	1.129018785
74	0.6295539131	1.125123372
75	0.6295539131	1.12226568
76	0.6296063322	1.117980544
77	0.6296063322	1.114143392
78	0.6296587514	1.110348508
79	0.6296063322	1.107021326
80	0.6314410023	1.102724754
81	0.6314410023	1.100153587
82	0.6298684279	1.096448524
83	0.6314934214	1.093150114
84	0.6301829428	1.089631169
85	0.630235362	1.08702857
86	0.6325418043	1.084246471
87	0.6324893851	1.081832869
88	0.6334853488	1.079242402
89	0.633904702	1.076694708
90	0.6338522829	1.073241452
91	0.633170834	1.069878278
92	0.633170834	1.066405601
93	0.633170834	1.063276491
94	0.6336426063	1.060953995
95	0.6335901871	1.058046567
96	0.637574042	1.055120557
97	0.6380982335	1.052397283
98	0.6369974315	1.049285751
99	0.6377312995	1.047094592
100	0.6382554909	1.044948903
101	0.6442312733	1.041419555
102	0.6442312733	1.038568479
103	0.6436022435	1.036507338
104	0.6448078838	1.033900887
105	0.6448078838	1.030504394
106	0.6449651413	1.028561045
107	0.6460135241	1.026126334
108	0.6460659433	1.023313184
109	0.65544897	1.021213939
110	0.6561304188	1.019228028
111	0.6570215443	1.017251093
112	0.6563400954	1.015246803
113	0.658017508	1.012358893
114	0.6577029931	1.009576618
115	0.6589610526	1.007721608
116	0.6809246737	1.005602398
117	0.6823399906	1.003760824
118	0.6823924097	1.001786208
119	0.6653037689	0.9991992874
120	0.6651989306	0.9969303384
121	0.6670336007	0.9951502761
122	0.667505373	0.992913991
123	0.6679247261	0.9911864349
124	0.6696545578	0.9881899482
125	0.6707029407	0.9865016097
126	0.6886302878	0.9847111279
127	0.6889448026	0.9830467477
128	0.6890496409	0.9813568306
129	0.6908318918	0.9797310684
130	0.6911464067	0.977796131	0131	0.694186717	0.975432132	0132	0.6954971956	0.973576133	0133	0.695654453	0.9715302161
134	0.6957068721	0.9687341023
135	0.6985375059	0.9669526136	136	0.7009487865	0.9645041818
137	0.7010536248	0.9626375457
138	0.7017874928	0.9611072888
139	0.7021020077	0.9586605921
