iter	Passed	Remaining
0	96	241381
1	290	362239
2	495	412067
3	596	372271
4	707	352885
5	930	386646
6	1155	411572
7	1327	413419
8	1450	401602
9	1533	381727
10	2064	467232
11	2330	483211
12	2574	492575
13	2924	519387
14	3039	503580
15	3178	493460
16	3242	473531
17	3380	466075
18	3466	452700
19	3545	439585
20	3670	433340
21	3823	430702
22	3918	421964
23	4071	420025
24	4227	418559
25	4390	417771
26	4555	417273
27	4729	417578
28	4823	410993
29	4958	408243
30	5049	402195
31	5188	400147
32	5313	397251
33	5455	395702
34	5549	390864
35	5643	386247
36	5751	382878
37	5964	386460
38	6134	387110
39	6339	389853
40	6437	386063
41	6763	395842
42	6840	390850
43	7127	397856
44	7231	394542
45	7416	395633
46	7516	392298
47	7689	392818
48	7848	392567
49	7995	391798
50	8160	391878
51	8383	394652
52	8470	391063
53	8590	389096
54	8744	388745
55	8941	390236
56	9012	386288
57	9174	386296
58	9257	382992
59	9491	385988
60	9593	383596
61	9717	382111
62	9953	385036
63	10103	384553
64	10439	391093
65	10546	388959
66	10633	386148
67	10802	386358
68	10984	387011
69	11146	386951
70	11234	384334
71	11341	382472
72	11463	381138
73	11535	378182
74	11628	375974
75	11766	375292
76	11861	373247
77	11994	372432
78	12105	370992
79	12193	368839
80	12330	368226
81	12439	366814
82	12611	367239
83	12708	365521
84	12834	364652
85	12906	362272
86	12964	359580
87	13107	359273
88	13156	356407
89	13228	354219
90	13356	353579
91	13518	353822
92	13635	352904
93	13906	355949
94	14002	354478
95	14243	356672
96	14323	354830
97	14505	355544
98	14639	355041
99	14706	352953
100	14783	351150
101	15079	354523
102	15223	354277
103	15433	355556
104	15539	354457
105	15679	354130
106	15778	352867
107	15938	353002
108	16128	353792
109	16272	353561
110	16494	355004
111	16619	354352
112	16845	355843
113	16929	354339
114	17017	352918
115	17111	351679
116	17194	350218
117	17286	348948
118	17363	347423
119	17441	345932
120	17531	344685
121	17629	343631
122	17709	342247
123	17787	340831
124	17876	339660
125	17968	338544
126	18071	337673
127	18208	337435
128	18366	337575
129	18428	335961
130	18486	334313
131	18585	333419
132	18677	332396
133	18806	332064
134	18983	332567
135	19042	331000
136	19191	331017
137	19274	329893
138	19331	328364
139	19454	327945
140	19558	327231
141	19675	326731
142	19798	326335
143	19932	326124
144	20029	325299
145	20109	324231
146	20211	323517
147	20281	322312
148	20440	322524
149	20596	322672
150	20698	321993
151	20993	324291
152	21109	323823
153	21160	322351
154	21309	322393
155	21379	321238
156	21548	321580
157	21814	323346
158	21905	322514
159	22034	322249
160	22218	322789
161	22309	321972
162	22444	321801
163	22531	320939
164	22628	320232
165	22693	319075
166	22944	320531
167	23058	320075
168	23174	319646
169	23254	318728
170	23348	318000
171	23459	317520
172	23568	317013
173	23677	316520
174	23738	315386
175	23842	314831
176	23944	314255
177	24031	313489
178	24124	312814
179	24247	312520
180	24387	312456
181	24440	311286
182	24514	310383
183	24600	309645
184	24673	308752
185	24800	308537
186	24906	308068
187	25012	307598
188	25088	306769
189	25178	306120
190	25255	305312
191	25374	305019
192	25467	304416
193	25546	303656
194	25667	303400
195	25772	302952
196	25873	302470
197	26043	302792
198	26241	303424
199	26339	302902
200	26641	304725
201	26908	306118
202	27015	305684
203	27213	306284
204	27453	307348
205	27870	310365
206	28039	310600
207	28262	311427
208	28504	312454
209	28603	311919
210	28868	313179
211	29046	313486
212	29276	314339
213	29353	313563
214	29480	313312
215	29617	313174
216	29828	313821
217	29996	314004
218	30194	314488
219	30433	315403
220	30606	315618
221	30733	315364
222	30898	315495
223	30976	314747
224	31229	315763
225	31356	315512
226	31535	315771
227	31801	316899
228	31975	317101
229	32234	318140
230	32464	318883
231	32736	320026
232	32875	319866
233	33034	319896
234	33164	319647
235	33377	320198
236	33532	320183
237	33929	322476
238	34409	325524
239	34757	327299
240	35019	328250
241	35200	328439
242	35382	328639
243	35710	330178
244	35896	330396
245	35970	329579
246	36202	330220
247	36356	330138
248	36536	330296
249	36772	330955
250	37084	332280
251	37161	331504
252	37412	332278
253	37991	335937
254	38098	335416
255	38356	336217
256	38489	335925
257	38722	336493
258	38959	337094
259	39212	337828
260	39482	338701
261	39623	338460
262	39849	338946
263	40016	338930
264	40132	338476
265	40838	342982
266	41067	343458
267	41235	343427
268	41408	343428
269	41600	343590
270	41714	343103
271	41893	343159
272	42026	342833
273	42226	343048
274	42474	343658
275	42688	343978
276	42885	344164
277	43158	344961
278	43233	344162
279	43407	344156
280	43564	344019
281	43656	343369
282	43739	342650
283	43847	342134
284	43369	337064
285	44064	341112
286	44192	340761
287	44321	340414
288	44463	340165
289	44616	340008
290	44750	339703
291	44858	339201
292	44929	338424
293	45079	338251
294	45177	337683
295	45287	337206
296	45362	336478
297	45499	336206
298	45733	336653
299	46101	338080
300	46319	338395
301	46451	338082
302	45986	333440
303	46069	332794
304	46757	336498
305	46852	335931
306	46958	335436
307	47075	335030
308	46612	330508
309	46754	330299
310	47473	334148
311	47650	334166
312	47812	334076
313	48031	334384
314	48161	334070
315	48280	333687
316	48349	332957
317	48453	332472
318	47888	327410
319	47967	326779
320	48055	326211
321	48835	330323
322	48255	325237
323	49040	329357
324	49150	328930
325	49322	328914
326	49409	328338
327	49522	327933
328	49652	327646
329	49728	327005
330	49834	326559
331	49967	326294
332	50046	325680
333	50146	325202
334	50211	324500
335	50312	324035
336	50378	323348
337	50489	322955
338	50630	322751
339	50723	322241
340	50173	317667
341	50946	321469
342	50512	317655
343	51386	322058
344	51516	321792
345	51582	321125
346	51711	320849
347	51887	320868
348	52018	320606
349	51454	316077
350	52176	319449
351	52269	318960
352	51729	314625
353	52489	318198
354	52555	317552
355	52688	317316
356	52764	316732
357	52915	316608
358	53209	317328
359	53400	317435
360	53502	317011
361	53713	317234
362	53835	316933
363	54048	317161
364	54237	317253
365	54451	317483
366	54602	317351
367	54748	317186
368	54902	317066
369	55009	316675
370	55150	316482
371	55378	316788
372	55505	316516
373	55957	318090
374	56110	317958
375	56238	317689
376	56536	318372
377	56681	318198
378	56754	317615
379	56302	314109
380	56388	313617
381	57198	317134
382	57298	316711
383	57517	316945
384	57719	317081
385	57906	317138
386	58099	317219
387	58467	318255
388	58727	318700
389	58866	318483
390	59161	319107
391	59347	319143
392	59465	318811
393	59697	319091
394	60035	319935
395	60215	319933
396	60540	320695
397	60799	321105
398	61041	321425
399	61292	321786
400	61600	322442
401	61966	323399
402	62186	323585
403	62436	323929
404	62520	323408
405	62689	323329
406	62804	322970
407	62866	322346
408	63030	322240
409	63117	321742
410	62670	318538
411	62770	318118
412	62895	317827
413	63086	317869
414	63255	317800
415	63918	320205
416	63603	317712
417	63833	317944
418	64054	318131
419	64296	318420
420	64482	318430
421	64672	318457
422	65045	319385
423	65572	321059
424	65722	320879
425	65876	320720
426	66053	320675
427	66256	320755
428	66968	323292
429	66620	320707
430	66785	320602
431	66954	320514
432	67231	320939
433	67932	323383
434	68136	323454
435	68470	324136
436	68620	323946
437	68704	323445
438	68320	320749
439	68897	322565
440	69027	322283
441	69253	322453
442	69378	322148
443	69498	321820
444	69610	321462
445	69715	321064
446	69811	320632
447	69929	320301
448	70006	319783
449	70174	319684
450	70340	319572
451	70438	319156
452	70660	319299
453	70821	319165
454	70890	318617
455	71603	320957
456	71870	321294
457	72132	321604
458	72410	321983
459	72576	321862
460	72739	321727
461	72956	321830
462	73204	322066
463	73373	321957
464	73549	321879
465	73707	321717
466	73877	321612
467	73707	320030
468	73818	319669
469	73974	319506
470	74309	320112
471	74440	319841
472	74642	319875
473	74793	319688
474	75008	319771
475	75710	321927
476	75437	319939
477	76115	321979
478	76455	322579
479	76511	321986
480	76156	319666
481	76805	321562
482	76968	321420
483	77120	321230
484	76783	319009
485	77507	321193
486	77662	321014
487	77824	320866
488	77975	320672
489	77600	318320
490	78240	320130
491	78418	320047
492	78576	319884
493	78231	317678
494	78892	319555
495	79060	319431
496	79233	319326
497	79453	319410
498	79055	317014
499	79909	319638
500	80087	319552
501	79905	318030
502	80079	317931
503	80791	319959
504	80936	319738
505	81105	319612
506	81231	319316
507	80994	317601
508	81615	319244
509	81826	319284
510	81969	319053
511	82169	319047
512	82350	318968
513	82092	317188
514	82757	318978
515	82485	317153
516	82714	317259
517	83386	319057
518	83529	318827
519	83648	318508
520	83298	316405
521	84061	318532
522	84181	318217
523	84325	317992
524	84489	317840
525	84622	317575
526	84859	317701
527	85075	317744
528	85259	317668
529	85460	317654
530	85070	315449
531	85911	317807
532	86068	317629
533	86324	317817
534	86620	318149
535	86754	317883
536	86851	317484
537	87057	317485
538	87225	317345
539	87433	317350
540	87004	315049
541	87682	316756
542	87945	316961
543	88166	317011
544	88303	316758
545	88409	316395
546	88585	316284
547	88243	314325
548	88982	316219
549	88625	314217
550	88802	314111
551	89026	314172
552	89213	314101
553	89498	314376
554	89725	314442
555	89824	314064
556	90053	314134
557	90256	314117
558	90394	313875
559	90560	313727
560	90769	313727
561	90916	313516
562	91194	313753
563	91378	313667
564	91597	313701
565	91784	313625
566	91931	313410
567	92060	313134
568	92293	313213
569	92606	313562
570	92799	313503
571	92981	313404
572	93108	313124
573	93241	312861
574	93667	313583
575	93902	313660
576	94124	313693
577	94222	313315
578	94399	313198
579	94555	313012
580	94669	312685
581	94802	312425
582	94932	312153
583	95045	311827
584	95208	311664
585	95435	311712
586	95637	311677
587	95712	311229
588	95894	311126
589	96029	310874
590	96170	310640
591	96269	310274
592	96400	310010
593	96480	309582
594	96690	309570
595	96896	309547
596	97007	309222
597	97229	309248
598	97331	308891
599	97470	308655
600	97630	308485
601	97832	308449
602	97980	308240
603	98132	308046
604	98248	307737
605	98425	307621
606	98482	307128
607	98663	307026
608	98864	306982
609	98957	306606
610	99063	306269
611	99185	305982
612	99333	305777
613	99424	305398
614	99618	305334
615	99707	304948
616	99949	305033
617	100045	304668
618	100217	304536
619	100307	304157
620	100447	303929
621	100584	303693
622	100681	303336
623	100840	303168
624	100977	302931
625	101147	302796
626	101286	302568
627	101443	302392
628	101600	302218
629	101675	301797
630	101794	301513
631	101946	301321
632	102098	301134
633	102245	300929
634	102387	300711
635	102552	300561
636	102658	300240
637	102812	300057
638	103013	300011
639	103170	299840
640	103359	299758
641	103590	299798
642	103679	299428
643	103860	299325
644	104019	299158
645	104241	299169
646	104366	298904
647	104469	298575
648	104639	298441
649	104821	298337
650	104998	298221
651	105596	299299
652	105261	297731
653	105920	298975
654	105529	297255
655	105872	297605
656	106532	298841
657	106757	298854
658	106961	298811
659	107157	298742
660	107290	298497
661	107492	298446
662	107635	298229
663	107759	297960
664	107867	297648
665	107952	297275
666	108131	297159
667	108290	296988
668	108405	296698
669	108472	296276
670	108631	296107
671	108299	294601
672	108510	294573
673	108657	294374
674	108815	294204
675	108937	293939
676	109049	293643
677	109190	293428
678	109292	293111
679	109424	292870
680	109652	292889
681	109798	292689
682	109985	292595
683	110269	292763
684	110384	292479
685	110557	292347
686	110745	292257
687	110981	292294
688	111064	291927
689	111203	291706
690	111308	291400
691	111492	291297
692	111597	290990
693	111754	290819
694	111857	290507
695	112020	290352
696	112180	290188
697	112292	289900
698	112415	289642
699	112524	289349
700	112652	289103
701	112879	289113
702	113091	289083
703	113259	288940
704	113443	288839
705	113533	288496
706	113682	288305
707	113785	287998
708	113948	287843
709	114051	287537
710	114210	287374
711	114424	287347
712	114553	287107
713	114692	286890
714	114880	286799
715	115126	286851
716	115256	286615
717	115409	286434
718	115495	286087
719	115640	285889
720	115829	285797
721	115920	285466
722	116024	285166
723	116148	284916
724	116260	284637
725	116378	284374
726	116568	284285
727	116630	283886
728	116768	283671
729	116890	283418
730	117005	283150
731	117191	283051
732	117373	282945
733	117465	282620
734	117747	282753
735	117838	282428
736	118037	282361
737	118129	282037
738	118265	281820
739	118420	281648
740	118587	281504
741	118705	281246
742	118844	281036
743	118974	280804
744	119065	280484
745	119271	280431
746	119439	280291
747	119582	280092
748	119711	279859
749	119835	279616
750	119990	279445
751	120098	279165
752	120285	279068
753	120427	278867
754	120587	278708
755	120716	278479
756	120848	278254
757	121080	278260
758	121260	278147
759	121418	277984
760	121548	277756
761	121723	277631
762	121886	277478
763	122084	277407
764	122236	277228
765	122388	277051
766	122529	276849
767	122714	276746
768	122870	276578
769	123022	276400
770	123217	276319
771	123364	276131
772	123469	275849
773	123619	275669
774	123768	275485
775	123923	275315
776	124049	275080
777	124131	274748
778	124285	274576
779	124400	274320
780	124603	274255
781	124736	274038
782	124947	273991
783	125104	273825
784	125284	273709
785	125392	273438
786	125551	273277
787	125742	273187
788	125806	272819
789	125939	272602
790	126127	272505
791	126214	272189
792	126403	272094
793	126536	271877
794	126688	271704
795	126808	271459
796	127023	271418
797	127129	271145
798	127237	270876
799	127336	270590
800	127463	270362
801	127601	270158
802	127770	270019
803	127934	269870
804	128041	269603
805	128218	269480
806	128350	269265
807	128468	269020
808	128635	268878
809	128783	268695
810	128963	268580
811	129061	268295
812	129171	268033
813	129400	268021
814	129537	267816
815	129704	267673
816	129848	267485
817	129935	267177
818	130135	267104
819	130248	266850
820	130382	266640
821	130537	266473
822	130657	266236
823	130737	265917
824	130913	265793
825	131057	265606
826	131228	265471
827	131380	265300
828	131502	265067
829	131619	264825
830	131723	264557
831	131858	264351
832	131969	264098
833	132103	263891
834	132268	263745
835	132434	263602
836	132565	263388
837	132722	263227
838	132848	263004
839	133033	262898
840	133160	262678
841	133277	262439
842	133427	262264
843	133549	262035
844	133737	261935
845	133917	261819
846	134047	261606
847	134214	261465
848	134308	261181
849	134440	260972
850	134601	260820
851	134701	260549
852	134805	260287
853	134969	260139
854	135054	259841
855	135187	259635
856	135313	259416
857	135471	259259
858	135644	259129
859	135761	258894
860	135902	258704
861	136057	258540
862	136149	258258
863	136250	257992
864	136360	257744
865	136559	257664
866	136754	257577
867	136861	257324
868	137036	257199
869	137161	256980
870	137249	256692
