,Features,Importance
237,school_1.0,0.053506088786665545
236,school_0.0,0.04720802916872959
171,bully_1.0,0.039584474421219935
170,bully_0.0,0.035379828775182684
195,nigger_1.0,0.031113774530785183
158,dumb_0.0,0.0306186457080668
194,nigger_0.0,0.027423979446588802
159,dumb_1.0,0.021857417180745995
0,characters per tweet,0.021590811941735465
272,rape_0.0,0.02101511556180453
205,high_1.0,0.019991956751313437
273,rape_1.0,0.019238246147975126
204,high_0.0,0.018200318635993785
124,fuck_0.0,0.01808141445709279
260,gay_0.0,0.01723781980177963
261,gay_1.0,0.017209789428682423
176,joke_0.0,0.016272338862049145
125,fuck_1.0,0.01598742032100644
177,joke_1.0,0.015602771662859635
1,words per tweet,0.014208563871057945
253,idiot_1.0,0.013306843301169371
34,i,0.01323014276082402
4,nb_capitalized,0.013161503628871408
252,idiot_0.0,0.01295331795564996
3,nb_lower,0.011430803401576841
259,muslim_1.0,0.011181829472095891
166,muslims_0.0,0.010737217154722766
167,muslims_1.0,0.010261844811942308
133,black_1.0,0.01022782893049339
43,r,0.010027706678766525
26,a,0.009632800488515269
132,black_0.0,0.009454952821145035
140,girl_0.0,0.009348771954228435
258,muslim_0.0,0.009063570861336712
44,s,0.008999164624442578
235,female_1.0,0.008347134623819363
64,@,0.008069733518469341
33,h,0.00803865398907329
234,female_0.0,0.007988166906579459
141,girl_1.0,0.0077017659229811995
137,christian_1.0,0.007461134967790666
136,christian_0.0,0.007438941997190181
37,l,0.007367347953710777
45,t,0.006539205300795821
30,e,0.006427885382700919
40,o,0.006416488352375128
271,mkr_1.0,0.006356392664655493
122,bitch_0.0,0.006299875280730035
39,n,0.006279189284350573
8,nb_len_3,0.006050674742065082
270,mkr_0.0,0.006013473391735973
46,u,0.005908181047995249
123,bitch_1.0,0.0057985771555402466
240,terrorist_0.0,0.005770307639015476
102,islam_0.0,0.005548369616476173
38,m,0.005436327077792259
9,nb_len_4,0.005268528089450786
103,islam_1.0,0.005158872062306195
241,terrorist_1.0,0.005063922710202621
164,islamic_0.0,0.004981214387589115
32,g,0.004968788026471698
165,islamic_1.0,0.0048938666629314755
11,nb_len_6,0.0047861019798234195
29,d,0.004292669994000919
67,#,0.004006447945942128
7,nb_len_2,0.003881026123951204
28,c,0.00387068171959567
10,nb_len_5,0.003773453666347249
49,x,0.0036651610289862584
148,terrorism_0.0,0.0035830702767805237
120,woman_0.0,0.003526941180366016
121,woman_1.0,0.003508602678943261
149,terrorism_1.0,0.003400426481786131
2,nb_upper,0.0033849550400996448
50,y,0.003369692577030275
27,b,0.0032326214159489456
41,p,0.0029859428497122195
129,ass_1.0,0.002953330220888425
36,k,0.0028957100336879497
48,w,0.0028739026282972382
35,j,0.002871471367928159
12,nb_len_7,0.0028055873199404197
6,nb_len_1,0.0025493711974675553
267,radical_1.0,0.002469978591914373
31,f,0.0024631735699042925
266,radical_0.0,0.0023549489515690726
75,non_ASCII,0.002293920141470175
197,feminazi_1.0,0.0022614900733750136
74,/,0.0022541812699053486
128,ass_0.0,0.002215814944837693
196,feminazi_0.0,0.002191226941753589
14,nb_len_9,0.0020771836709885627
157,call_1.0,0.001991727129905944
13,nb_len_8,0.00193283500459994
156,call_0.0,0.0018429747590965999
83,right_1.0,0.0017862854104728247
163,support_1.0,0.0017733522288398223
82,right_0.0,0.0017435881621453437
47,v,0.0016565842066797913
162,support_0.0,0.0015900707795795175
15,nb_len_10,0.0014332897249492316
63,!,0.001378963093948677
184,bullying_0.0,0.001324240825941169
185,bullying_1.0,0.0013134744753053632
19,nb_len_14,0.0011159000562103293
16,nb_len_11,0.0010485543044437406
180,isis_0.0,0.0010483867200439066
51,z,0.0010428311960729417
187,quran_1.0,0.0010262483463572382
24,nb_len_19,0.0009868217005576157
181,isis_1.0,0.000979918131975054
186,quran_0.0,0.0009359388460571239
62,?,0.0009331878087701922
17,nb_len_12,0.0009198080251541926
250,kat_0.0,0.0008896994866542948
53,1,0.000878824386296241
20,nb_len_15,0.0008689255495187303
18,nb_len_13,0.0008674059463696493
42,q,0.0008496759308700482
251,kat_1.0,0.0008294620458992546
96,fucking_0.0,0.000806084889141951
97,fucking_1.0,0.0007721372578774509
71,-,0.0007354484574049648
54,2,0.0007329487939057548
61,9,0.0006810782817165884
52,0,0.0006630041964964381
246,man_0.0,0.0006460045278051449
21,nb_len_16,0.0006398516665788512
127,religion_1.0,0.0006045693634533235
57,5,0.0005964980444446936
247,man_1.0,0.0005961463105241903
126,religion_0.0,0.0005893595785615674
66,&,0.000580743700717846
60,8,0.0005666555446177803
56,4,0.0005628968740609261
59,7,0.0005368099563616916
55,3,0.0005161018734449301
226,que_0.0,0.00047087172462097817
70,),0.00044832185744644507
58,6,0.0004363425537645162
5,mixed_upper_lower_not_capitalized,0.000408094005054345
84,people_0.0,0.00040657990773248506
213,class_1.0,0.000398532806715296
227,que_1.0,0.0003984008129915686
85,people_1.0,0.0003983089045697688
249,blameonenotall_1.0,0.00038435518807009884
212,class_0.0,0.00036351243979683374
248,blameonenotall_0.0,0.00035204038156986395
69,(,0.0003494250278577889
153,think_1.0,0.0003361793960593893
134,know_0.0,0.0003330640568573163
22,nb_len_17,0.00033108984459084595
152,think_0.0,0.00032926879856638995
135,know_1.0,0.00031644951113815866
80,andre_0.0,0.0003083808750538418
150,say_0.0,0.00029569380918705425
151,say_1.0,0.00028752787621047184
146,lol_0.0,0.0002775700579138713
92,look_0.0,0.0002635785005601076
264,good_0.0,0.00026087539194873913
214,hate_0.0,0.0002595410576313442
81,andre_1.0,0.00025851761167207285
147,lol_1.0,0.000257012937722246
77,kill_1.0,0.00024995445473681514
131,need_1.0,0.00024695615195512887
206,time_0.0,0.0002459830392647095
76,kill_0.0,0.000242498085940097
130,need_0.0,0.0002389210661975522
268,bad_0.0,0.00023362772451421103
191,day_1.0,0.00023197270193619368
215,hate_1.0,0.00023184951369071278
93,look_1.0,0.0002311105197413472
265,good_1.0,0.0002301740302935019
190,day_0.0,0.00022807226351500103
233,make_1.0,0.00022690420280514304
207,time_1.0,0.00022669006316431738
200,stop_0.0,0.00022318828797828228
143,tell_1.0,0.00021828756393473052
269,bad_1.0,0.00021694384744795037
107,love_1.0,0.00021513803701203113
104,year_0.0,0.00021267860300755272
105,year_1.0,0.00021219105701282494
106,love_0.0,0.00020373179973922901
254,get_0.0,0.00020293512146472498
100,thing_0.0,0.00020240274227588186
142,tell_0.0,0.00020222387281105373
201,stop_1.0,0.00019899157276557
101,thing_1.0,0.00019846553916038994
155,shit_1.0,0.00018891141726466964
25,nb_len_20,0.00018598282368522615
154,shit_0.0,0.00018524082014752252
275,stupid_1.0,0.00018437662331314064
255,get_1.0,0.00017947060209436163
202,try_0.0,0.00017568039761865515
274,stupid_0.0,0.0001743001355686372
203,try_1.0,0.00017260632798272774
118,way_0.0,0.00017069249495010945
245,come_1.0,0.0001701894479904874
23,nb_len_18,0.00017016274833509256
119,way_1.0,0.00016956636269948596
174,talk_0.0,0.00016502287483023735
244,come_0.0,0.00016043942793329225
87,pretty_1.0,0.00015768488589769573
108,guy_0.0,0.00015567841599097154
79,see_1.0,0.00015478767932355426
86,pretty_0.0,0.00015396379845295855
78,see_0.0,0.0001535458679182462
208,daesh_0.0,0.0001529685671966188
256,feel_0.0,0.00014950176049257846
257,feel_1.0,0.00014732183128990912
219,help_1.0,0.0001467145654510465
91,twitter_1.0,0.00014593400420621208
175,talk_1.0,0.00014527967910583678
109,guy_1.0,0.00014411661822700912
115,mean_1.0,0.00014329682564237798
192,use_0.0,0.00014111516798904288
223,yes_1.0,0.00014040853103403807
232,make_0.0,0.00013921123634240716
110,yeah_0.0,0.00013874481317279242
189,read_1.0,0.0001369368960939842
90,twitter_0.0,0.00013667721351330554
114,mean_0.0,0.0001364035488975828
95,watch_1.0,0.00013631098217710294
88,work_0.0,0.000132522573409683
193,use_1.0,0.0001300088811045583
188,read_0.0,0.0001296495786518196
209,daesh_1.0,0.00012908113904238068
117,person_1.0,0.0001286339618452392
94,watch_0.0,0.00012778339876415897
222,yes_0.0,0.0001274378471833368
218,help_0.0,0.00012743283914857256
111,yeah_1.0,0.000125795445729214
228,today_0.0,0.00012418244142850903
231,freebsdgirl_1.0,0.00012276154109115708
229,today_1.0,0.00012197951472449715
144,tweet_0.0,0.00011997756507194553
217,start_1.0,0.00011884460718350522
169,hope_1.0,0.00011729781883062947
168,hope_0.0,0.00011640815648560533
216,start_0.0,0.00011447221153044818
116,person_0.0,0.00011397358158677817
230,freebsdgirl_0.0,0.00011159586193284837
145,tweet_1.0,0.0001115128116443017
112,thank_0.0,0.00010845134487805811
98,home_0.0,0.00010788260064688765
182,new_0.0,0.00010750495479842933
210,country_0.0,0.00010650092528943364
99,home_1.0,0.00010629536180857389
211,country_1.0,0.00010583967465088366
89,work_1.0,0.00010525282909906779
172,cook_0.0,0.0001028071085469874
178,sure_0.0,0.00010072545115592468
113,thank_1.0,9.888150365160034e-05
276,lot_0.0,9.843838762476237e-05
238,happen_0.0,9.478114851434725e-05
242,dude_0.0,9.39462656359178e-05
243,dude_1.0,9.255226720075805e-05
277,lot_1.0,9.105073522523302e-05
183,new_1.0,8.990731930402725e-05
173,cook_1.0,8.698281867002724e-05
179,sure_1.0,8.43831501933166e-05
73,=,8.3692617941685e-05
239,happen_1.0,8.315618694889311e-05
138,mkr2015_0.0,8.238730469588178e-05
161,team_1.0,8.06227825489393e-05
262,round_0.0,8.029397318114435e-05
263,round_1.0,7.928289072686686e-05
68,%,7.87786569019684e-05
221,harassment_1.0,7.783888364017973e-05
139,mkr2015_1.0,7.652237640882609e-05
160,team_0.0,7.420234945047082e-05
225,gamergate_1.0,7.012124316928651e-05
224,gamergate_0.0,6.941373135949236e-05
220,harassment_0.0,6.314710384364996e-05
198,colin_0.0,5.593112079443079e-05
199,colin_1.0,5.435836155262737e-05
72,+,4.918585276815606e-05
65,$,4.233380530779579e-05
